decoy,database,partner1,partner2,complex_type,dG_exp,affinity,classifier,cms,ddg_filter1,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,holes,hxl_tors,ifa_complex_normalized,ifa_dG_cross,ifa_dG_cross_dSASAx100,ifa_dG_separated,ifa_dG_separated_dSASAx100,ifa_dSASA_hphobic,ifa_dSASA_int,ifa_dSASA_polar,ifa_delta_unsatHbonds,ifa_hbond_E_fraction,ifa_hbonds_int,ifa_nres_all,ifa_nres_int,ifa_packstat,ifa_per_residue_energy_int,ifa_sc_value,ifa_side1_normalized,ifa_side1_score,ifa_side2_normalized,ifa_side2_score,interaction_energy,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,pro_close,rama_prepro,ref,sc,total_score
3bzd,pdbbind,A,B,dimeric,-5.48117403193896,9.6e-05,0,331.112915039062,-30.0644512176514,-1.63076884777311,-1901.69664168024,63.916441325947,217.505106489264,367.455718944086,-604.682340974787,-118.570550850274,-110.963859640156,60.1809038552412,90.2144589179311,226.719877834181,1364.62313014539,-79.8829753298065,-140.683156922307,-35.1778881301757,-55.0648472563793,0.933244884014129,83.0268121788798,-2.13081836700439,-30.0644512176514,-2.14621639251709,-30.0644512176514,-2.14621639251709,780.58154296875,1400.81164550781,620.230102539063,11,0.207009837031364,5,343,60,0.563377559185028,-1.56888651847839,0.591120839118957,-2.25635361671448,-60.9215469360352,-1.00641334056854,-33.2116394042969,-30.0644509187026,704.75971643557,-4.12428182159834,-28.2551253485316,-745.35874576359,39.112993572860496,-84.3675295134783,6.02989142836742,52.7295906450176,-96.6866299999999,0.591120839118957,-730.870700306363
1pjm,pdbbind,A,B,dimeric,-9.20147360407831,1.8e-07,0,747.278625488281,-81.3699645996094,0.0,-2768.67856064622,80.2328978616942,215.598677984691,360.407597188003,-806.837529382265,-144.694265433304,-85.017812449166,89.6858734303479,95.4051566124733,347.373555431817,1959.90819875006,-62.2041234348966,-7.57266597000635,-46.1244802347472,-298.444658460302,0.236746966838836,104.922318663264,-2.21737575531006,-81.3699645996094,-2.80276465415955,-81.3699645996094,-2.80276465415955,1330.37609863281,2903.20361328125,1572.82751464844,27,0.295816004276275,20,447,97,0.632537961006164,-1.55444848537445,0.682107985019683,-0.356926381587982,-7.13852787017822,-1.8654932975769,-143.642974853516,-81.3699637016707,1105.93536291619,-2.30847688393913,-16.8320306626913,-1122.99987424011,13.0127931731525,-73.6097974983762,4.46194664961269,132.398152064592,-65.1852400000001,0.682107985019683,-991.166984570119
5nvm,pdbbind,A,B,dimeric,-10.7146205127186,1.4e-08,0,941.904479980469,-114.565010070801,0.0,-1247.97702674226,33.1728273407227,129.596182365132,205.16842000504,-300.677168886843,-82.9142081385661,-27.3363805247146,25.4429565036904,54.9537240421285,116.259930304412,867.74183942486,-26.7270248237884,-64.7599430632209,-30.3893179551048,-62.5146429950871,0.012143366038799,42.8296257059217,-2.29332304000854,-114.93758392334,-3.783371925354,-114.565010070801,-3.77110815048218,2013.08666992187,3037.966796875,1024.88012695313,13,0.133984670042991,12,213,88,0.651075363159179,-2.68831086158752,0.794896483421325,-3.13760018348694,-169.430404663086,-1.97473406791687,-67.1409606933594,-111.776552054013,437.029964069621,-1.98064644362587,-13.704647682852,-478.295470195848,21.4633346081972,-45.0422895955595,2.09680699349229,20.8745594187549,-62.789186,0.794896483421325,-488.477782265493
4m5f,pdbbind,A,B,dimeric,-14.8289085052007,1.35e-11,1,453.995452880859,-49.0379791259766,0.0,-3001.82874374458,85.05150071988,298.721948753839,427.925677867014,-951.316165023171,-174.067856632087,-95.5398362693822,84.5042915000434,122.894519352226,332.522450024874,2186.52842757567,-105.990791259415,-89.3039929429477,-61.5113183323748,-239.190042019853,1.73661661148071,116.592410471858,-2.26748871803284,-49.0379791259766,-2.75404500961304,-49.0379791259766,-2.75404500961304,723.916076660156,1780.58020019531,1056.66418457031,11,0.363964527845382,11,523,81,0.651009738445282,-1.91050839424133,0.651275873184204,-1.81761145591736,-96.3334045410156,-2.08634901046753,-58.4177742004395,-45.2019538669746,1179.16437225947,-4.1209503613172,-29.9491535498313,-1223.68105044147,43.931459584127,-100.608813865852,7.57058285804282,136.108497523553,-130.304078,0.651275873184204,-1185.89665395169
2hrk,pdbbind,A,B,dimeric,-10.9763997478364,9e-09,1,463.700347900391,-44.591682434082,0.0,-1707.35836773664,47.773252163871,177.618586429974,249.480625164234,-524.802038144696,-105.517009229927,-63.3246711090922,49.8868099676523,70.4147768050034,175.068617789713,1219.4525988268,-57.6133552241927,-19.7448372768144,-17.1095107224685,-168.082375406458,0.798107683658599,67.9448101780631,-2.18466353416443,-44.591682434082,-2.75421977043152,-44.591682434082,-2.75421977043152,983.958312988281,1619.03125,635.072998046875,8,0.069440126419067,3,298,50,0.59601205587387,-2.53045153617859,0.730353415012359,-2.51979517936706,-57.955291748046896,-2.5395290851593,-68.5672912597656,-44.5916814465865,665.679566961107,-2.2933264843659,-15.8872314477006,-700.740156649008,37.2746069435657,-48.5830911148876,3.52807918644467,56.71935428807,-40.81547,0.730353415012359,-651.029755841757
2nu4,skempi2,E,I,dimeric,-11.3197239306556,5.04e-09,1,360.101043701172,-39.1362762451172,-6.06033125016203,-1308.09737002403,24.8634219872287,86.1282686691244,131.139098618865,-428.7163332182,-58.436120553422,-71.6665141067956,23.1435338821729,41.2232976525161,138.208152595117,887.396242044605,-62.7856650792839,-122.382789161977,-21.5367718680274,-45.5582631340498,1.07066607475281,105.731188792717,-3.09006357192993,-39.1362762451172,-3.13613653182983,-39.1362762451172,-3.13613653182983,837.591674804687,1247.91369628906,410.3219909667969,10,0.201929375529289,6,236,64,0.806474328041076,-3.04087114334106,0.700568079948425,-3.26341485977173,-150.117080688477,-2.47214794158935,-44.498664855957,-31.2335118000411,501.769359947628,-1.98661894817812,-14.3179889828227,-517.219695509171,13.5708323275834,-72.2177087389854,1.46912276876715,36.9911359182059,10.093496,0.700568079948425,-729.255019370579
3lnz,skempi2,A,B,dimeric,-12.6944813362314,4.95e-10,1,385.124816894531,-48.2757606506348,0.0,-569.383791904865,16.626397890386,64.9547369297986,83.4633463149093,-178.504476392751,-37.7252036854893,-19.8585395163219,17.5007133701883,21.8631390179327,63.3470158311286,371.568114847798,-18.1317897854207,-18.7894550055164,-8.59686531273644,-48.0774178734359,0.772513926029205,22.180794288538,-2.60628366470337,-48.2757606506348,-4.3276104927063,-48.2757606506348,-4.3276104927063,831.975708007812,1115.529296875,283.553588867187,4,0.068723201751708,3,96,39,0.6178018450737,-2.8033401966095,0.796341776847839,-2.87335538864136,-80.4539489746094,-2.62511968612671,-28.8763160705566,-48.2757604176574,209.451946957666,-0.677544396006308,-4.24677170474999,-215.814182881243,8.53900117255225,-15.9849873524664,0.766334256219072,17.1055881398176,-11.779328,0.796341776847839,-250.203224794067
3u43,pdbbind,A,B,dimeric,-20.4637035618722,1e-15,1,504.994049072266,-65.6123504638672,0.0,-1285.58016598289,35.2168576893089,146.659651121147,234.838393608532,-509.617341354754,-77.3164072731455,-43.6377656054017,27.954588828226,62.9408287941336,126.691990793644,1095.31016838214,-74.114003634118,-30.5228637788966,-36.7697073113988,-100.560066967963,1.00111508369446,29.8233228056636,-2.6149787902832,-65.6123504638672,-3.76125741004944,-65.6123504638672,-3.76125741004944,793.701782226563,1744.42602539063,950.724243164063,6,0.273126155138015,14,224,58,0.688103437423706,-2.83396434783935,0.646390080451965,-3.27002048492432,-101.370635986328,-2.33330726623535,-62.999298095703104,-65.6123494745223,525.648419685163,-2.10676283559154,-14.3271608495318,-549.672246170506,18.633526548467,-45.454665952255,1.24240842556631,26.3248887228319,-147.361116,0.646390080451965,-585.755228311638
1m9e,skempi2,A,D,dimeric,-5.70030496274528,6.63e-05,0,260.270629882812,-35.1567497253418,0.0,-1746.78757885567,50.150881195488,146.639613361966,258.541751053352,-524.149587268211,-101.337288632768,-75.326577885911,57.4805421259454,69.6043851376869,191.729236298802,1232.02524183289,-66.4374611753741,-69.1129084546681,-30.6324004588306,-123.668486437878,0.931518733501434,69.9127278864188,-2.46561980247498,-35.5889129638672,-4.05872440338135,-35.1567497253418,-4.00943899154663,566.53955078125,876.849670410156,310.310150146484,1,0.157148912549018,5,299,52,0.729944765567779,-2.60472798347473,0.783348560333252,-2.68028235435486,-107.211296081543,-2.35288023948669,-28.234561920166,-32.9650252657815,658.663075534415,-2.56945412802123,-17.0778013335857,-690.935552143177,31.0518444638828,-83.3411179495714,10.0768559646241,69.038646318646,-50.758902,0.783348560333252,-737.220315549548
5oyl,pdbbind,A,D,dimeric,-6.99168180524719,7.5e-06,0,472.258178710938,-51.5552520751953,-11.5994845435269,-2458.22079265868,72.0229638564505,212.682545416752,420.49837397337,-733.694671965989,-143.853381186387,-130.611169035169,58.1807968815557,93.9616969410582,250.762545822746,1707.74066382657,-89.5720322139631,-155.751994483949,-50.1630452216488,-91.8943611048451,1.50442850589752,124.655504965148,-2.51559329032898,-51.5552520751953,-3.24008011817932,-51.5552520751953,-3.24008011817932,841.40966796875,1591.17211914063,749.762390136719,8,0.208582073450088,10,456,61,0.533066034317016,-2.38220119476318,0.696810722351074,-2.47122192382812,-93.9064331054687,-2.23512363433838,-51.4078407287598,-47.7873676955561,857.512059128482,-4.35993940496948,-28.1957610350436,-936.855070487811,56.2582292021417,-123.221957715868,4.32878146404447,47.0447690096132,-94.7658639999999,0.696810722351074,-1147.11059456992
5tl7,pdbbind,A,B,dimeric,-3.7218816422447,0.00187,0,514.252380371094,-52.1957092285156,0.0,-2240.07748034135,63.0762800858825,215.586135116545,383.594490004884,-724.099986464064,-135.588570157958,-95.7904684685681,55.9704321684596,88.6735242636568,214.146141937346,1547.77465517011,-76.0571372640028,-149.004494655413,-55.9646935891492,-111.390945470678,2.13763618469238,117.992809720904,-2.59096431732178,-52.1957092285156,-2.77090930938721,-52.1957092285156,-2.77090930938721,1071.39636230469,1883.70324707031,812.306823730469,6,0.301313281059265,12,392,81,0.61787724494934,-2.35126304626465,0.771633744239807,-2.20027017593384,-68.2083740234375,-2.44487881660461,-122.243942260742,-47.0448256523545,845.413097027399,-3.23025249418433,-21.8478758705365,-875.145406689635,34.1105506758966,-82.7927731044576,8.64363635583029,39.9976133106831,-59.647268,0.771633744239807,-1015.6579867324
4m1l,pdbbind,A,B,dimeric,-9.20147360407831,1.8e-07,0,1041.27563476563,-111.190170288086,0.0,-980.021590242309,24.1877555565921,84.3968859920222,193.817578507578,-322.837682173114,-60.4052763326513,-50.3988722955928,25.7269657587302,50.7444716260239,96.7145035268361,831.969549222787,-52.1965694128513,-8.3410828247386,-8.28093751305977,-90.2979070893512,-0.062277477234601,36.9990347311859,-1.99306225776672,-111.190170288086,-3.37689089775085,-111.190170288086,-3.37689089775085,2187.42114257812,3292.6787109375,1105.25756835938,12,0.114305511116981,10,168,94,0.533357620239257,-2.34059643745422,0.683566808700561,-2.51508808135986,-181.086349487305,-1.7695324420929,-38.929714202880895,-111.190171937862,424.668870248515,-1.11342865010471,-8.15978341371762,-427.257869725536,14.4420272499878,-42.725745938223,0.093722015253042,-5.3664692465998,-61.192618,0.683566808700561,-334.834468422337
5xoc,pdbbind,A,B,dimeric,-6.95344370584899,8e-06,0,673.681884765625,-82.531135559082,-1.115804354612,-1849.50885998651,44.2250398758512,164.933484082973,279.076400036736,-534.359378898529,-110.133443004957,-57.6614176727861,55.7272302973646,68.3003911237713,208.551257130904,1197.62310388672,-58.9855679753621,-113.170231354242,-25.7806478923146,-101.598743810522,0.79105132818222,59.068878875154,-2.4257333278656,-82.531135559082,-3.65979647636414,-82.531135559082,-3.65979647636414,1606.79516601563,2255.07446289062,648.279357910156,7,0.17698685824871,11,327,79,0.59522259235382,-2.28072237968445,0.733501553535461,-2.83520317077637,-144.595367431641,-1.27077507972717,-35.5817031860352,-76.7279212114192,670.859284295044,-2.14968331830673,-14.7505223874126,-693.463797629235,26.5166001874596,-63.2867058532621,2.0084948759528,63.9209646229804,-8.06114799999999,0.733501553535461,-793.214822847141
4ml7,pdbbind,A,B,dimeric,-13.0539823614426,2.7e-10,1,617.946105957031,-70.4249801635742,-5.66178813194583,-1261.15251117902,26.3276168882916,119.998399533289,176.891448907921,-407.707232753678,-71.9952168969216,-57.773806097752704,27.6966684147212,49.0082119683251,126.879615248167,903.36142517877,-42.4663623151426,-78.8350524768465,-34.726695733752,-67.5539256061041,-0.075246535241603,41.9746401550142,-2.56537199020386,-70.4249801635742,-3.15866231918335,-70.4249801635742,-3.15866231918335,1015.49786376953,2229.58227539063,1214.08435058594,20,0.289625972509384,16,227,88,0.650735139846801,-2.92342710494995,0.630213499069213,-2.71310472488403,-124.802810668945,-3.15378022193909,-132.458770751953,-66.8955895559563,480.2031893141671,-2.45343159499985,-16.2523594889345,-507.252795611213,17.2830358796229,-45.2807793318824,0.233417014609623,23.6060437407641,23.308804,0.630213499069213,-582.339440974533
3kj0,pdbbind,A,B,dimeric,-11.86754289749,2e-09,1,659.513610839844,-86.2104873657227,0.0,-1089.12102590615,24.41263530279,102.75653905228,165.056838005815,-382.762317928129,-72.6654044572352,-41.6785647888898,31.2073789346963,53.1305552093468,109.867624350797,853.932746956001,-18.6807902828495,-1.67366666443727,-40.7633601400133,-127.579740404184,0.829308569431304,39.3822563437274,-2.41360473632812,-86.2104873657227,-4.08860063552856,-86.2104873657227,-4.08860063552856,1399.43481445313,2108.55737304687,709.122436523438,1,0.177263796329498,11,181,66,0.636773467063903,-2.72486782073975,0.772375583648681,-2.97544360160828,-127.944076538086,-2.25639986991882,-51.8971977233887,-86.2104891678924,450.525583724047,-1.49227498705075,-10.8423466454185,-466.213039970141,12.4274815720384,-28.2409727772213,0.826476024352886,31.9723635476379,-30.647446,0.772375583648681,-436.862471928189
2r9p,pdbbind,A,E,dimeric,-6.62187980034418,1.4e-05,0,400.3215637207031,-40.9388809204102,-7.43606296799242,-1595.35926883016,50.071148654295,134.11777349544,221.098623259218,-452.656380638431,-84.734724345391,-66.0359737861716,33.2957953116727,53.9668356741127,172.705804628596,1054.0673018669,-59.3367766847223,-115.381697042608,-22.6062107554021,-50.235106052441,1.39433753490448,58.5993802641767,-2.64095878601074,-40.9388809204102,-3.09358692169189,-40.9388809204102,-3.09358692169189,679.235229492187,1323.3466796875,644.111511230469,12,0.195460259914398,7,282,60,0.695238709449768,-2.19103503227234,0.725048303604126,-2.20547008514404,-99.2461471557617,-2.14773058891296,-32.2159576416016,-35.5080497132905,552.426441448163,-2.21816243884303,-15.2392819291653,-602.632687161659,26.3900560798459,-74.1904351297193,5.41317256656129,33.0697182824081,8.090368,0.725048303604126,-744.750348231318
